train_loss,val_loss,train_ce_loss,train_dice_loss,val_ce_loss,val_dice_loss,lr,epoch_time,val_miou,val_pixel_acc,val_dice
3.9302263259887695,3.9063360691070557,2.982861042022705,0.947365403175354,2.958994150161743,0.9473419189453125,9.755282581475769e-05,108.04604578018188,0.02653492243209054,0.05259561538696289,0.0526580810546875
3.9064016342163086,3.897036552429199,2.9590561389923096,0.947345495223999,2.949699640274048,0.9473370313644409,9.045084971874738e-05,112.52325773239136,0.026476025425320144,0.05269622802734375,0.05266296863555908
3.897000789642334,3.89555287361145,2.949665069580078,0.9473356008529663,2.9482154846191406,0.9473373293876648,7.938926261462366e-05,96.15886855125427,0.02649077572161429,0.052806854248046875,0.052662670612335205
3.8955345153808594,3.894888401031494,2.948197364807129,0.9473371505737305,2.9475512504577637,0.9473370313644409,6.545084971874738e-05,104.07090735435486,0.026500264646142274,0.05265331268310547,0.05266296863555908
3.894850254058838,3.8940887451171875,2.947514772415161,0.9473356008529663,2.946748733520508,0.9473400712013245,5e-05,90.64223265647888,0.026344103443858957,0.05259895324707031,0.05265992879867554
3.8939919471740723,3.893418073654175,2.9466562271118164,0.9473357796669006,2.946082592010498,0.947335422039032,3.4549150281252636e-05,98.40399360656738,0.026176396238392602,0.05259561538696289,0.05266457796096802
3.893418312072754,3.893110513687134,2.946082592010498,0.9473357796669006,2.945775032043457,0.9473354816436768,2.061073738537635e-05,101.08887386322021,0.026130758698027074,0.05267763137817383,0.05266451835632324
3.8931655883789062,3.892911195755005,2.9458277225494385,0.9473379254341125,2.9455783367156982,0.9473328590393066,9.549150281252633e-06,126.79709959030151,0.02618807481250963,0.052898406982421875,0.05266714096069336
3.8929548263549805,3.89290452003479,2.94562029838562,0.9473345875740051,2.945568799972534,0.9473357200622559,2.4471741852423237e-06,110.78379559516907,0.025976573726232875,0.05244255065917969,0.05266427993774414
3.8929290771484375,3.8929221630096436,2.9455926418304443,0.9473365545272827,2.945584774017334,0.9473374485969543,0.0001,106.71581792831421,0.026043363303178232,0.05264425277709961,0.052662551403045654
3.892890453338623,3.8925375938415527,2.945554733276367,0.9473357200622559,2.9452013969421387,0.9473361372947693,9.938441702975689e-05,101.70911526679993,0.0260134650452523,0.05261850357055664,0.05266386270523071
3.8925023078918457,3.89263916015625,2.9451680183410645,0.9473342895507812,2.945302724838257,0.9473363757133484,9.755282581475769e-05,99.04297995567322,0.026082320680066835,0.052562713623046875,0.05266362428665161
3.892599582672119,3.8927042484283447,2.945265054702759,0.9473344683647156,2.945369243621826,0.9473350048065186,9.45503262094184e-05,104.72012424468994,0.026155701466310455,0.05263328552246094,0.052664995193481445
3.892670154571533,3.892758846282959,2.9453370571136475,0.9473331570625305,2.945422649383545,0.9473362565040588,9.045084971874738e-05,102.24301767349243,0.0261371194869458,0.052642822265625,0.05266374349594116
