train_loss,val_loss,train_box_loss,train_cls_loss,val_box_loss,val_cls_loss,lr,epoch_time,val_map50,val_precision,val_recall
2.8813818062189966e-05,3.0056124160182662e-05,1.2735071322822478e-05,1.607874764886219e-05,1.3081949873594567e-05,1.6974174286588095e-05,7.938926261462366e-05,113.41660404205322,0.5,0.5,0.5
3.0202529160305858e-05,2.9400758648989722e-05,1.3093253983242903e-05,1.7109276086557657e-05,1.2715170669252984e-05,1.6685587979736738e-05,7.612492823579745e-05,109.48166728019714,0.5,0.5,0.5
2.9529388484661467e-05,2.7407659217715263e-05,1.2782795238308609e-05,1.674659324635286e-05,1.2262441487109754e-05,1.5145217730605509e-05,7.269952498697734e-05,120.01735210418701,0.5,0.5,0.5
2.743492223089561e-05,2.6746496587293223e-05,1.2277459063625429e-05,1.5157464076764882e-05,1.2035208783345297e-05,1.4711288713442627e-05,6.91341716182545e-05,121.88925075531006,0.5,0.5,0.5
2.687105006771162e-05,2.660483733052388e-05,1.203556439577369e-05,1.483548476244323e-05,1.1624786566244438e-05,1.4980051673774142e-05,6.545084971874738e-05,112.80636191368103,0.5,0.5,0.5
2.671067340997979e-05,2.535118801461067e-05,1.167060781881446e-05,1.504006559116533e-05,1.0952533557428978e-05,1.4398654457181692e-05,6.167226819279528e-05,134.36490488052368,0.5,0.5,0.5
2.5240091417799704e-05,2.4442801077384502e-05,1.0923295121756382e-05,1.4316796296043321e-05,1.0565659067651723e-05,1.3877142919227481e-05,5.782172325201155e-05,125.35093426704407,0.5,0.5,0.5
2.4524912078049965e-05,2.4707494958420284e-05,1.0587047654553317e-05,1.3937864423496649e-05,1.0599683264445048e-05,1.4107811693975236e-05,5.392295478639225e-05,121.59190464019775,0.5,0.5,0.5
2.469364153512288e-05,2.457479786244221e-05,1.0621618457662407e-05,1.4072023077460472e-05,1.064599200617522e-05,1.3928806765761692e-05,5e-05,119.84776568412781,0.5,0.5,0.5
2.4535362172173336e-05,2.3671025701332837e-05,1.0629098142089788e-05,1.390626493957825e-05,1.0473857400938869e-05,1.3197167390899267e-05,4.607704521360776e-05,116.06870484352112,0.5,0.5,0.5
2.381144258833956e-05,2.332078292965889e-05,1.0495615242689382e-05,1.3315827345650177e-05,1.0359418411098886e-05,1.2961363609065302e-05,4.217827674798847e-05,117.14570236206055,0.5,0.5,0.5
2.332666190341115e-05,2.33099126489833e-05,1.036892081174301e-05,1.2957742001162842e-05,1.0244785698887426e-05,1.3065126950095873e-05,3.8327731807204733e-05,126.22270345687866,0.5,0.5,0.5
2.329834023839794e-05,2.3106205844669603e-05,1.0237742571916897e-05,1.3060597666481044e-05,1.0079171261168085e-05,1.3027034583501518e-05,3.4549150281252636e-05,117.45457172393799,0.5,0.5,0.5
2.3060223611537367e-05,2.2437929146690294e-05,1.0073140401800629e-05,1.2987083209736738e-05,9.86726809060201e-06,1.2570660146593582e-05,3.086582838174551e-05,111.16339063644409,0.5,0.5,0.5
2.253086495329626e-05,2.2134325263323262e-05,9.862526894721668e-06,1.2668337149079889e-05,9.713540748634841e-06,1.2420784514688421e-05,2.7300475013022663e-05,109.02180790901184,0.5,0.5,0.5
2.2071679268265143e-05,2.1831925550941378e-05,9.686589692137204e-06,1.238509048562264e-05,9.576178854331374e-06,1.2255747606104705e-05,2.3875071764202563e-05,117.38268804550171,0.5,0.5,0.5
2.1940093574812636e-05,2.1964515326544642e-05,9.593237336957827e-06,1.2346855328360107e-05,9.575779586157296e-06,1.2388735740387347e-05,2.061073738537635e-05,114.41891050338745,0.5,0.5,0.5
2.178097565774806e-05,2.1663950974470936e-05,9.5213536042138e-06,1.2259621144039556e-05,9.47045464272378e-06,1.2193496331747156e-05,1.7527597583490822e-05,120.48538136482239,0.5,0.5,0.5
2.1704800019506365e-05,2.1638443286065012e-05,9.472341844229959e-06,1.2232458175276406e-05,9.479033906245604e-06,1.215941028931411e-05,1.4644660940672627e-05,122.80076146125793,0.5,0.5,0.5
2.1558473235927522e-05,2.1377738448791206e-05,9.459186912863515e-06,1.2099285413569305e-05,9.415444765181746e-06,1.1962294593104161e-05,1.1979701719998453e-05,130.2188582420349,0.5,0.5,0.5
2.1408379325293936e-05,2.1415056835394353e-05,9.42032511375146e-06,1.1988054211542476e-05,9.411560313310474e-06,1.2003496522083879e-05,9.549150281252633e-06,122.31050539016724,0.5,0.5,0.5
2.1323990949895233e-05,2.1115589333930984e-05,9.384953955304809e-06,1.1939037904085126e-05,9.278408469981514e-06,1.1837181773444172e-05,7.367991782295391e-06,116.88405871391296,0.5,0.5,0.5
2.124935417668894e-05,2.1273579477565363e-05,9.343680176243652e-06,1.1905674000445288e-05,9.343386409454979e-06,1.1930193977605086e-05,5.449673790581611e-06,125.52743935585022,0.5,0.5,0.5
2.1291461962391622e-05,2.1149171516299248e-05,9.36779997573467e-06,1.1923661986656953e-05,9.308890184911434e-06,1.1840282240882516e-05,3.8060233744356633e-06,121.01347231864929,0.5,0.5,0.5
2.120073258993216e-05,2.124059210473206e-05,9.333238267572597e-06,1.1867494322359562e-05,9.322783625975717e-06,1.1917808478756342e-05,2.4471741852423237e-06,133.59706592559814,0.5,0.5,0.5
2.109071283484809e-05,2.1225627278909087e-05,9.278280231228564e-06,1.1812433513114229e-05,9.337752999272197e-06,1.1887873370142188e-05,1.3815039801161721e-06,126.32386350631714,0.5,0.5,0.5
2.1181873307796195e-05,2.1169689716771245e-05,9.321304787590634e-06,1.186056761071086e-05,9.342746125184931e-06,1.1826944501081016e-05,6.15582970243117e-07,129.80459070205688,0.5,0.5,0.5
2.11261649383232e-05,2.1017855033278465e-05,9.283237886847928e-06,1.1842927051475272e-05,9.262748790206388e-06,1.1755105333577376e-05,1.5413331334360182e-07,121.4184148311615,0.5,0.5,0.5
2.11351944017224e-05,2.108037551806774e-05,9.28988174564438e-06,1.1845312656078022e-05,9.264751497539692e-06,1.1815624020528048e-05,0.0001,121.99821662902832,0.5,0.5,0.5
2.1137346266186796e-05,2.1707666746806353e-05,9.299898010795005e-06,1.1837448255391791e-05,9.580702680977993e-06,1.212696406582836e-05,9.996145181203615e-05,114.74031329154968,0.5,0.5,0.5
2.155132096959278e-05,2.1188536265981384e-05,9.500226951786317e-06,1.2051094927301165e-05,9.520218554825988e-06,1.1668317711155396e-05,9.98458666866564e-05,114.3620674610138,0.5,0.5,0.5
2.105663406837266e-05,2.0938849047524855e-05,9.48827073443681e-06,1.156836333393585e-05,9.309261258749757e-06,1.16295886982698e-05,9.965342284774632e-05,116.08995580673218,0.5,0.5,0.5
2.098765253322199e-05,2.0147475879639387e-05,9.330186003353447e-06,1.1657465620373841e-05,9.224581845046487e-06,1.0922893125098199e-05,9.938441702975689e-05,113.05449986457825,0.5,0.5,0.5
2.0112362108193338e-05,1.9269973563496023e-05,9.1741103460663e-06,1.0938250852632336e-05,8.527702448191121e-06,1.0742271115304902e-05,9.903926402016153e-05,125.54947662353516,0.5,0.5,0.5
1.9190809325664304e-05,1.9033963326364756e-05,8.492433153151069e-06,1.0698376172513235e-05,8.494899702782277e-06,1.0539062714087777e-05,9.861849601988383e-05,118.0936267375946,0.5,0.5,0.5
1.899878952826839e-05,1.8714124962571077e-05,8.472900844935793e-06,1.0525888683332596e-05,8.418792276643217e-06,1.029533268592786e-05,9.812276182268236e-05,116.32274317741394,0.5,0.5,0.5
1.8895054381573573e-05,1.8208489564131014e-05,8.476646144117694e-06,1.0418408237455878e-05,8.29399414215004e-06,9.914495421980973e-06,9.755282581475769e-05,124.78430581092834,0.5,0.5,0.5
1.823472121031955e-05,1.787751170923002e-05,8.315377272083424e-06,9.919343028741423e-06,8.190753760572989e-06,9.686758858151734e-06,9.690956679612421e-05,128.09657382965088,0.5,0.5,0.5
1.7927581211552024e-05,1.737715138006024e-05,8.214450645027682e-06,9.713131476019043e-06,7.815041499270592e-06,9.562108971294947e-06,9.619397662556435e-05,116.28383827209473,0.5,0.5,0.5
1.743196480674669e-05,1.6863185010151938e-05,7.850984729884658e-06,9.580980986356735e-06,7.656537491129711e-06,9.206647519022226e-06,9.540715869125407e-05,116.22153401374817,0.5,0.5,0.5
1.69427312357584e-05,1.6833128029247746e-05,7.68534118833486e-06,9.257390047423542e-06,7.783402907080017e-06,9.049725122167729e-06,9.45503262094184e-05,119.23064541816711,0.5,0.5,0.5
1.6873649656190537e-05,1.6412341210525483e-05,7.794221346557606e-06,9.079428309632931e-06,7.5759453466162086e-06,8.836396773403976e-06,9.362480035363986e-05,120.02895855903625,0.5,0.5,0.5
1.6270598280243576e-05,1.6035788576118648e-05,7.532342806371162e-06,8.738255928619765e-06,7.4509557634883095e-06,8.584832357882988e-06,9.263200821770461e-05,123.0766806602478,0.5,0.5,0.5
